"Category","Region","City","Ship_Mode","Real_Days","Sched_Days","Delay_Days","Profit","Sales"
Electronics,Eastern Europe,Gdansk,Standard Class,2,4,-2,-9.760000229,127.9599991
Electronics,Eastern Europe,Mykolayiv,Standard Class,2,4,-2,76.01999664,179.9600067
Electronics,Eastern Europe,Ivanovo,Standard Class,6,4,2,38.54999924,127.9599991
Electronics,Northern Europe,Oslo,Second Class,5,2,3,28.45000076,103.9800034
Electronics,Northern Europe,Basingstoke,Second Class,4,2,2,6.860000134,103.9800034
Electronics,Southern Europe,Torre del Greco,Second Class,4,2,2,4.800000191,95.97000122
Electronics,Western Europe,Ingolstadt,Second Class,6,2,4,-28.10000038,143.9700012
Electronics,Southern Europe,Torre del Greco,Second Class,4,2,2,37.61999893,127.9599991
Electronics,Western Europe,Colmar,Second Class,4,2,2,2.269999981,207.9600067
Computers,Western Europe,Bayreuth,Standard Class,3,4,-1,529.2000122,1500.0
Consumer Electronics,Southern Europe,Ponferrada,Standard Class,2,4,-2,76.04000092,252.8800049
Consumer Electronics,Northern Europe,Preston,Standard Class,3,4,-1,50.90000153,252.8800049
Consumer Electronics,Southern Europe,Seville,Standard Class,2,4,-2,71.33999634,252.8800049
Consumer Electronics,Northern Europe,Cork,Standard Class,3,4,-1,76.47000122,252.8800049
Consumer Electronics,Western Europe,Halle,Standard Class,6,4,2,69.04000092,252.8800049
Computers,Southern Europe,Madrid,Standard Class,4,4,0,435.6000061,1500.0
Computers,Western Europe,Bremen,Standard Class,6,4,2,150.0,1500.0
Electronics,Northern Europe,Mansfield,Standard Class,4,4,0,11.97000027,31.98999977
Electronics,Eastern Europe,Poznan,Standard Class,3,4,-1,16.29999924,63.97999954
Electronics,Western Europe,Frontignan,Standard Class,3,4,-1,16.57999992,63.97999954
Electronics,Western Europe,Hamburgo,Standard Class,5,4,1,-5.800000191,103.9800034
Electronics,Northern Europe,Helsinki,Standard Class,6,4,2,21.12999916,63.97999954
Electronics,Western Europe,Pertuis,Standard Class,2,4,-2,13.64000034,63.97999954
Electronics,Northern Europe,Estocolmo,Standard Class,2,4,-2,-6.300000191,95.98000336
Consumer Electronics,Western Europe,Amberes,First Class,2,1,1,18.78000069,252.8800049
Computers,Northern Europe,Gateshead,First Class,2,1,1,614.25,1500.0
Computers,Western Europe,Charleroi,First Class,2,1,1,154.25,1500.0
Computers,Western Europe,Schiffweiler,First Class,2,1,1,572.7000122,1500.0
Electronics,Western Europe,Magdeburg,First Class,2,1,1,2.160000086,31.98999977
Electronics,Southern Europe,Brindisi,Standard Class,5,4,1,54.15000153,207.9600067
Electronics,Eastern Europe,Cheli�binsk,Standard Class,2,4,-2,-27.20999908,127.9599991
Electronics,Western Europe,Bochum,Standard Class,5,4,1,67.19000244,191.9600067
Electronics,Western Europe,Courbevoie,Standard Class,6,4,2,103.1800003,239.9499969
Electronics,Southern Europe,Tarragona,Standard Class,4,4,0,29.3199997,159.9499969
Electronics,Western Europe,Carcassonne,Standard Class,4,4,0,69.87000275,159.9499969
Electronics,Western Europe,Carcassonne,Standard Class,4,4,0,66.94000244,159.9499969
Electronics,Western Europe,Nice,Standard Class,2,4,-2,26.59000015,139.9499969
Electronics,Western Europe,Annemasse,Standard Class,4,4,0,15.18000031,159.9499969
Consumer Electronics,Western Europe,Fontenay-le-Comte,First Class,2,1,1,83.63999939,252.8800049
Consumer Electronics,Northern Europe,London,First Class,2,1,1,27.8199997,252.8800049
Electronics,Western Europe,Salzburgo,First Class,2,1,1,27.43000031,83.97000122
Electronics,Southern Europe,Barcelona,First Class,2,1,1,48.20000076,191.9600067
Computers,Western Europe,Nantes,Second Class,2,2,0,504.0,1500.0
Electronics,Western Europe,Aschaffenburg,Second Class,6,2,4,11.94999981,31.98999977
Electronics,Western Europe,Hamburgo,Second Class,5,2,3,17.53000069,63.97999954
Electronics,Northern Europe,Dubl�n,Second Class,4,2,2,35.0699997,83.97000122
Electronics,Western Europe,Viena,Second Class,6,2,4,-58.88999939,95.97000122
Electronics,Western Europe,Marseille,Second Class,5,2,3,9.010000229,127.9599991
Computers,Southern Europe,Arezzo,Standard Class,5,4,1,-990.5,1500.0
Computers,Western Europe,Arras,Standard Class,3,4,-1,531.5599976,1500.0
Computers,Northern Europe,Kettering,Standard Class,3,4,-1,-2152.5,1500.0
Computers,Western Europe,Argenteuil,Standard Class,2,4,-2,579.1500244,1500.0
Computers,Western Europe,Emden,Standard Class,4,4,0,267.2999878,1500.0
Computers,Western Europe,Marseille,Standard Class,6,4,2,-2328.0,1500.0
Computers,Northern Europe,Helsinki,Standard Class,3,4,-1,548.25,1500.0
Electronics,Southern Europe,Bari,Standard Class,5,4,1,14.26000023,31.98999977
Electronics,Northern Europe,London,Standard Class,2,4,-2,6.900000095,31.98999977
Electronics,Western Europe,Lohne,Second Class,2,2,0,15.19999981,159.9499969
Electronics,Southern Europe,Brescia,Second Class,2,2,0,58.79000092,239.9499969
Electronics,Southern Europe,Lisbon,Second Class,4,2,2,39.91999817,159.9499969
Computers,Western Europe,La Rochelle,Standard Class,6,4,2,-2550.0,1500.0
Computers,Western Europe,Augsburg,Standard Class,2,4,-2,519.75,1500.0
Computers,Northern Europe,Derby,Standard Class,2,4,-2,543.9000244,1500.0
Consumer Electronics,Southern Europe,Castelldefels,Standard Class,6,4,2,114.0,252.8800049
Consumer Electronics,Western Europe,Amberes,Standard Class,4,4,0,18.59000015,252.8800049
Consumer Electronics,Western Europe,Reims,Standard Class,6,4,2,66.23000336,252.8800049
Computers,Northern Europe,Blackpool,Standard Class,2,4,-2,72.0,1500.0
Computers,Western Europe,Bonn,Standard Class,2,4,-2,242.25,1500.0
Computers,Western Europe,Paris,Standard Class,5,4,1,684.0,1500.0
Consumer Electronics,Southern Europe,Florence,Standard Class,4,4,0,26.29000092,252.8800049
Computers,Western Europe,Torcy,Standard Class,5,4,1,124.7399979,1500.0
Consumer Electronics,Western Europe,Saint-Michel-sur-Orge,Standard Class,6,4,2,86.75,252.8800049
Computers,Northern Europe,London,Standard Class,3,4,-1,456.2999878,1500.0
Consumer Electronics,Northern Europe,Chester,Standard Class,2,4,-2,22.25,252.8800049
Computers,Western Europe,Dreux,Standard Class,2,4,-2,501.6000061,1500.0
Computers,Western Europe,Hamm,Standard Class,3,4,-1,-1000.940002,1500.0
Computers,Western Europe,Berl�n,Standard Class,3,4,-1,592.2000122,1500.0
Computers,Western Europe,Hamm,Standard Class,6,4,2,409.5,1500.0
Computers,Western Europe,Albi,Standard Class,3,4,-1,491.3999939,1500.0
Computers,Southern Europe,Madrid,Standard Class,6,4,2,249.0,1500.0
Computers,Southern Europe,Venice,Standard Class,6,4,2,560.25,1500.0
Computers,Western Europe,Creil,Standard Class,5,4,1,58.52000046,1500.0
Computers,Western Europe,Dreux,Standard Class,3,4,-1,202.9400024,1500.0
Computers,Western Europe,Noisy-le-Sec,Standard Class,5,4,1,-202.9400024,1500.0
Computers,Western Europe,Duisburg,Standard Class,6,4,2,390.0,1500.0
Computers,Southern Europe,Madrid,Standard Class,2,4,-2,326.25,1500.0
Computers,Western Europe,Roermond,Standard Class,6,4,2,-99.0,1500.0
Electronics,Northern Europe,Odense,Standard Class,6,4,2,5.889999866,31.98999977
Electronics,Northern Europe,Bristol,Standard Class,2,4,-2,22.11000061,47.99000168
Electronics,Southern Europe,Trento,Standard Class,5,4,1,14.8199997,47.99000168
Computers,Southern Europe,Madrid,Standard Class,6,4,2,669.2999878,1500.0
Electronics,Southern Europe,Granada,Standard Class,6,4,2,12.63000011,31.98999977
Electronics,Western Europe,Norderstedt,Standard Class,2,4,-2,41.02999878,95.97000122
Electronics,Western Europe,Vitry-sur-Seine,Standard Class,6,4,2,8.449999809,95.97000122
Electronics,Northern Europe,Leicester,Standard Class,3,4,-1,36.0,127.9599991
Electronics,Eastern Europe,Tarnow,Standard Class,4,4,0,2.119999886,111.9599991
Electronics,Northern Europe,Sunderland,Standard Class,6,4,2,4.179999828,191.9600067
Electronics,Eastern Europe,Praga,Standard Class,3,4,-1,-136.4199982,207.9600067
Electronics,Southern Europe,Arezzo,Standard Class,5,4,1,-15.60000038,207.9600067
Electronics,Western Europe,Schiltigheim,Standard Class,6,4,2,42.11000061,207.9600067
Electronics,Eastern Europe,Sofia,Standard Class,5,4,1,55.27999878,127.9599991
Electronics,Western Europe,Auxerre,Standard Class,2,4,-2,66.37999725,159.9499969
Electronics,Western Europe,Dijon,Standard Class,3,4,-1,51.45999908,159.9499969
Electronics,Western Europe,Emden,Standard Class,3,4,-1,76.80999756,159.9499969
Electronics,Northern Europe,Leeds,Standard Class,3,4,-1,111.6999969,239.9499969
Electronics,Western Europe,Innsbruck,Standard Class,2,4,-2,45.90999985,159.9499969
Electronics,Southern Europe,Pisa,First Class,2,1,1,31.79999924,127.9599991
Electronics,Western Europe,Moers,First Class,2,1,1,-16.27000046,159.9499969
Computers,Northern Europe,Dubl�n,Same Day,0,0,0,477.75,1500.0
Consumer Electronics,Northern Europe,London,Same Day,0,0,0,101.1999969,252.8800049
Electronics,Eastern Europe,Ivano-Frankivs'k,Same Day,0,0,0,12.77999973,31.98999977
Consumer Electronics,Western Europe,Lyon,Second Class,6,2,4,64.43000031,252.8800049
Computers,Northern Europe,London,Second Class,4,2,2,530.0999756,1500.0
Consumer Electronics,Northern Europe,Waterlooville,Second Class,5,2,3,70.55000305,252.8800049
Computers,Northern Europe,London,Second Class,3,2,1,409.5,1500.0
Consumer Electronics,Southern Europe,Barcelona,Second Class,5,2,3,113.8000031,252.8800049
Consumer Electronics,Southern Europe,Acerra,Second Class,6,2,4,26.54999924,252.8800049
Consumer Electronics,Western Europe,Wilhelmshaven,Second Class,5,2,3,22.86000061,252.8800049
Electronics,Western Europe,Dordrecht,Second Class,3,2,1,43.75999832,95.98000336
Electronics,Western Europe,Tarbes,Second Class,5,2,3,31.61000061,127.9599991
Electronics,Western Europe,Nuremberg,Second Class,3,2,1,42.99000168,159.9499969
Consumer Electronics,Northern Europe,Norwich,Standard Class,2,4,-2,118.8499985,252.8800049
Computers,Southern Europe,Lucca,Standard Class,4,4,0,150.0,1500.0
Computers,Western Europe,Viena,Standard Class,6,4,2,388.7999878,1500.0
Computers,Southern Europe,Rome,Standard Class,4,4,0,384.75,1500.0
Consumer Electronics,Western Europe,Saint-Michel-sur-Orge,Standard Class,2,4,-2,18.02000046,252.8800049
Computers,Northern Europe,Gateshead,Standard Class,4,4,0,479.1199951,1500.0
Computers,Western Europe,Aulnay-sous-Bois,Standard Class,5,4,1,-67.5,1500.0
Computers,Western Europe,Aulnay-sous-Bois,Standard Class,4,4,0,462.0,1500.0
Computers,Western Europe,Nogent-sur-Oise,Standard Class,5,4,1,561.1500244,1500.0
Computers,Southern Europe,Barcelona,Standard Class,4,4,0,90.0,1500.0
Electronics,Eastern Europe,Craiova,Standard Class,2,4,-2,9.819999695,31.98999977
Consumer Electronics,Western Europe,Paris,First Class,2,1,1,42.56000137,252.8800049
Computers,Northern Europe,Sheffield,First Class,2,1,1,161.5099945,1500.0
Consumer Electronics,Southern Europe,Naples,First Class,2,1,1,15.73999977,252.8800049
Electronics,Western Europe,Viena,First Class,2,1,1,39.36000061,127.9599991
Consumer Electronics,Southern Europe,Florence,Same Day,1,0,1,17.79999924,252.8800049
Electronics,Eastern Europe,Rivne,Same Day,0,0,0,-26.44000053,127.9599991
Electronics,Eastern Europe,Rivne,Same Day,0,0,0,70.19000244,259.9500122
Electronics,Northern Europe,Gravesend,Same Day,1,0,1,-418.9100037,159.9499969
Consumer Electronics,Western Europe,Doetinchem,Second Class,3,2,1,64.43000031,252.8800049
Computers,Western Europe,Hayange,Second Class,5,2,3,407.3999939,1500.0
Computers,Western Europe,Bonn,Second Class,6,2,4,446.4899902,1500.0
Consumer Electronics,Western Europe,Hamm,Second Class,4,2,2,97.45999908,252.8800049
Consumer Electronics,Western Europe,Viena,Second Class,4,2,2,23.43000031,252.8800049
Computers,Western Europe,Bergheim,Second Class,4,2,2,360.0,1500.0
Electronics,Northern Europe,Colchester,Second Class,5,2,3,-8.06000042,31.98999977
Electronics,Western Europe,Essen,Second Class,6,2,4,-44.79000092,63.97999954
Computers,Western Europe,Bremen,Standard Class,4,4,0,244.5,1500.0
Computers,Western Europe,Chelles,Standard Class,3,4,-1,525.0,1500.0
Computers,Western Europe,Chelles,Standard Class,2,4,-2,167.8099976,1500.0
Computers,Southern Europe,Palermo,Standard Class,6,4,2,291.0,1500.0
Computers,Northern Europe,Birmingham,Standard Class,3,4,-1,417.6000061,1500.0
Computers,Northern Europe,Manchester,Standard Class,6,4,2,-2184.0,1500.0
Computers,Northern Europe,Blackpool,Standard Class,4,4,0,-87.44000244,1500.0
Consumer Electronics,Western Europe,Dordrecht,Standard Class,4,4,0,61.18000031,252.8800049
Computers,Northern Europe,East Kilbride,Standard Class,2,4,-2,323.7000122,1500.0
Computers,Western Europe,Berl�n,Standard Class,2,4,-2,179.2799988,1500.0
Electronics,Northern Europe,York,First Class,2,1,1,25.90999985,95.97000122
Electronics,Western Europe,Herne,First Class,2,1,1,68.69999695,207.9600067
Electronics,Southern Europe,Busto Arsizio,First Class,2,1,1,51.40999985,127.9599991
Electronics,Southern Europe,Milan,First Class,2,1,1,48.86000061,127.9599991
Electronics,Western Europe,Villach,First Class,2,1,1,88.54000092,224.9499969
Electronics,Western Europe,Lisieux,First Class,2,1,1,40.65999985,159.9499969
Electronics,Western Europe,Leipzig,First Class,2,1,1,35.83000183,159.9499969
Consumer Electronics,Western Europe,Duisburg,Same Day,0,0,0,31.55999947,252.8800049
Consumer Electronics,Western Europe,Amberes,Same Day,0,0,0,101.1999969,252.8800049
Electronics,Northern Europe,Colchester,Same Day,1,0,1,9.180000305,31.98999977
Electronics,Eastern Europe,Pitesti,Standard Class,3,4,-1,5.599999905,55.97999954
Electronics,Southern Europe,Zagreb,Standard Class,5,4,1,25.51000023,89.98000336
Electronics,Northern Europe,London,Standard Class,2,4,-2,24.35000038,89.98000336
Electronics,Western Europe,Beauvais,Standard Class,5,4,1,6.400000095,63.97999954
Electronics,Eastern Europe,Lublin,Standard Class,2,4,-2,0.949999988,95.98000336
Electronics,Northern Europe,Garforth,Standard Class,3,4,-1,-27.63999939,95.98000336
Electronics,Southern Europe,Ercolano,Standard Class,2,4,-2,1.690000057,95.98000336
Electronics,Eastern Europe,Lviv,Standard Class,4,4,0,1.070000052,63.97999954
Electronics,Northern Europe,Sheffield,Standard Class,3,4,-1,6.820000172,63.97999954
Electronics,Southern Europe,Bilbao,Standard Class,4,4,0,18.8199997,83.97000122
Consumer Electronics,Western Europe,Montpellier,Standard Class,3,4,-1,67.38999939,252.8800049
Electronics,Western Europe,Frankfurt,Standard Class,2,4,-2,-11.72999954,89.98000336
Electronics,Northern Europe,Dronfield,Standard Class,2,4,-2,6.909999847,95.97000122
Electronics,Western Europe,Munster,Standard Class,2,4,-2,48.95000076,143.9700012
Electronics,Northern Europe,London,Standard Class,3,4,-1,37.49000168,143.9700012
Electronics,Southern Europe,Granollers,Standard Class,2,4,-2,-68.45999908,95.97000122
Electronics,Southern Europe,Pesaro,Standard Class,2,4,-2,49.68000031,155.9700012
Electronics,Western Europe,Soissons,Standard Class,2,4,-2,72.05999756,207.9600067
Electronics,Western Europe,Utrecht,Standard Class,5,4,1,31.8199997,207.9600067
Electronics,Southern Europe,Rome,Standard Class,4,4,0,18.0,191.9600067
Consumer Electronics,Western Europe,Herford,First Class,2,1,1,69.38999939,252.8800049
Computers,Northern Europe,Manchester,First Class,2,1,1,354.3800049,1500.0
Computers,Western Europe,Le Blanc-Mesnil,First Class,2,1,1,477.75,1500.0
Computers,Western Europe,Montmorency,First Class,2,1,1,136.5,1500.0
Consumer Electronics,Northern Europe,London,First Class,2,1,1,63.79999924,252.8800049
Electronics,Western Europe,Essen,First Class,2,1,1,22.32999992,47.99000168
Electronics,Northern Europe,Tallinn,First Class,2,1,1,22.11000061,47.99000168
Electronics,Western Europe,Bonn,First Class,2,1,1,6.480000019,31.98999977
Computers,Southern Europe,Cagliari,First Class,2,1,1,525.0,1500.0
Electronics,Northern Europe,Cardiff,First Class,2,1,1,26.60000038,63.97999954
Electronics,Eastern Europe,Ivanovo,First Class,2,1,1,29.22999954,95.98000336
Electronics,Western Europe,Versailles,First Class,2,1,1,9.210000038,95.97000122
Electronics,Western Europe,Drancy,First Class,2,1,1,49.25999832,155.9700012
Electronics,Southern Europe,Girona,First Class,2,1,1,43.75,155.9700012
Electronics,Southern Europe,Madrid,First Class,2,1,1,58.04000092,179.9600067
Electronics,Western Europe,Calais,First Class,2,1,1,-31.67000008,159.9499969
Electronics,Western Europe,Augsburg,Standard Class,4,4,0,-60.36999893,95.98000336
Electronics,Western Europe,Potsdam,Standard Class,3,4,-1,2.890000105,159.9499969
Electronics,Western Europe,Leuven,Standard Class,3,4,-1,30.95999908,239.9499969
Computers,Southern Europe,Arezzo,First Class,2,1,1,112.5,1500.0
Computers,Southern Europe,Turin,First Class,2,1,1,362.7000122,1500.0
Computers,Western Europe,Hamburgo,First Class,2,1,1,94.5,1500.0
Computers,Western Europe,Palaiseau,First Class,2,1,1,576.0,1500.0
Electronics,Western Europe,Magdeburg,First Class,2,1,1,4.269999981,44.99000168
Electronics,Western Europe,Calais,First Class,2,1,1,23.47999954,89.98000336
Electronics,Western Europe,Paris,First Class,2,1,1,26.15999985,63.97999954
Electronics,Northern Europe,Northwich,First Class,2,1,1,50.79000092,127.9599991
Electronics,Western Europe,Amsterdam,First Class,2,1,1,58.43999863,224.9499969
Electronics,Northern Europe,Brighton,First Class,2,1,1,37.11000061,159.9499969
Electronics,Southern Europe,Barcelona,Same Day,1,0,1,15.43000031,44.99000168
Electronics,Southern Europe,Coslada,Standard Class,5,4,1,-23.22999954,139.9499969
Electronics,Western Europe,Montauban,Standard Class,5,4,1,23.76000023,239.9499969
Electronics,Western Europe,Saint-Avold,Standard Class,4,4,0,10.09000015,259.9500122
Electronics,Eastern Europe,Arkhangelsk,Standard Class,3,4,-1,-424.2399902,259.9500122
Electronics,Eastern Europe,Poznan,Standard Class,3,4,-1,114.3799973,259.9500122
Electronics,Western Europe,Hasselt,Standard Class,3,4,-1,-92.01000214,159.9499969
Computers,Western Europe,Bremen,First Class,2,1,1,590.4000244,1500.0
Electronics,Western Europe,Talence,First Class,2,1,1,59.61000061,179.9600067
Consumer Electronics,Western Europe,Montpellier,Second Class,5,2,3,121.3799973,252.8800049
Computers,Western Europe,Stuttgart,Second Class,5,2,3,378.0,1500.0
Computers,Western Europe,Lomme,Second Class,2,2,0,-861.2999878,1500.0
Consumer Electronics,Western Europe,Reims,Second Class,4,2,2,77.0,252.8800049
Electronics,Northern Europe,Estocolmo,Second Class,3,2,1,2.880000114,55.97999954
Electronics,Western Europe,Munich,Second Class,2,2,0,-50.47999954,134.9700012
Electronics,Northern Europe,Birmingham,Second Class,6,2,4,36.27999878,143.9700012
Computers,Southern Europe,Valladolid,Standard Class,5,4,1,509.25,1500.0
Electronics,Southern Europe,Granada,Standard Class,5,4,1,15.05000019,63.97999954
Electronics,Western Europe,Metz,Standard Class,4,4,0,15.14999962,55.97999954
Electronics,Western Europe,Cologne,Standard Class,4,4,0,28.95000076,103.9800034
Electronics,Eastern Europe,Sofia,Standard Class,4,4,0,42.84999847,95.97000122
Electronics,Western Europe,Hamm,Standard Class,2,4,-2,60.38999939,155.9700012
Electronics,Eastern Europe,Yaroslavl,Standard Class,4,4,0,25.73999977,207.9600067
Electronics,Western Europe,Villeparisis,Standard Class,4,4,0,76.01000214,159.9499969
Electronics,Eastern Europe,Timisoara,Standard Class,6,4,2,0.0,63.97999954
Electronics,Western Europe,Amsterdam,Standard Class,3,4,-1,43.75999832,95.97000122
Electronics,Western Europe,Stuttgart,Standard Class,2,4,-2,48.27000046,127.9599991
Electronics,Western Europe,Muret,Standard Class,5,4,1,46.86999893,127.9599991
Electronics,Western Europe,Leipzig,Standard Class,3,4,-1,69.15000153,207.9600067
Electronics,Western Europe,Tilburg,Standard Class,2,4,-2,-192.1300049,127.9599991
Electronics,Eastern Europe,Irkutsk,Standard Class,3,4,-1,77.40000153,191.9600067
Electronics,Southern Europe,Rimini,Standard Class,5,4,1,75.18000031,159.9499969
Electronics,Northern Europe,London,Standard Class,2,4,-2,38.68000031,159.9499969
Electronics,Western Europe,Genk,Standard Class,6,4,2,126.0999985,259.9500122
Electronics,Western Europe,Hamburgo,Standard Class,3,4,-1,47.50999832,159.9499969
Electronics,Western Europe,Dordrecht,Standard Class,4,4,0,9.600000381,239.9499969
Consumer Electronics,Southern Europe,Taranto,First Class,2,1,1,-46.11999893,252.8800049
Computers,Southern Europe,Alcobendas,First Class,2,1,1,-2232.0,1500.0
Consumer Electronics,Western Europe,Paris,First Class,2,1,1,118.9499969,252.8800049
Computers,Southern Europe,Alcobendas,First Class,2,1,1,240.9799957,1500.0
Computers,Western Europe,Berl�n,First Class,2,1,1,299.0899963,1500.0
Computers,Western Europe,Laval,First Class,2,1,1,655.2000122,1500.0
Computers,Southern Europe,Ravenna,First Class,2,1,1,0.0,1500.0
Computers,Western Europe,Montmorency,First Class,2,1,1,391.5,1500.0
Computers,Western Europe,Hamm,First Class,2,1,1,-1020.0,1500.0
Consumer Electronics,Western Europe,Valence,First Class,2,1,1,66.37999725,252.8800049
Consumer Electronics,Western Europe,Hamm,First Class,2,1,1,61.63999939,252.8800049
Electronics,Eastern Europe,Varna,First Class,2,1,1,3.779999971,31.98999977
Electronics,Northern Europe,Estocolmo,First Class,2,1,1,20.28000069,51.99000168
Electronics,Western Europe,Haguenau,First Class,2,1,1,4.849999905,31.98999977
Electronics,Northern Europe,Drammen,First Class,2,1,1,18.71999931,51.99000168
Consumer Electronics,Western Europe,Paris,First Class,2,1,1,74.34999847,252.8800049
Computers,Northern Europe,Gateshead,First Class,2,1,1,592.2000122,1500.0
Electronics,Northern Europe,Estocolmo,First Class,2,1,1,14.89000034,31.98999977
Computers,Western Europe,Pontault-Combault,Second Class,4,2,2,614.25,1500.0
Computers,Northern Europe,Newcastle upon Tyne,Second Class,5,2,3,469.5,1500.0
Consumer Electronics,Western Europe,Bressuire,Second Class,6,2,4,115.1600037,252.8800049
Consumer Electronics,Northern Europe,Northwich,Second Class,4,2,2,52.04000092,252.8800049
Consumer Electronics,Southern Europe,Acireale,Second Class,4,2,2,55.75999832,252.8800049
Consumer Electronics,Western Europe,Reims,Second Class,2,2,0,77.5699997,252.8800049
Consumer Electronics,Western Europe,Forbach,Second Class,6,2,4,3.190000057,252.8800049
Computers,Northern Europe,Copenhagen,Second Class,6,2,4,662.4000244,1500.0
Computers,Western Europe,Nantes,Second Class,6,2,4,242.25,1500.0
Computers,Western Europe,Perpignan,Second Class,6,2,4,396.8999939,1500.0
